店铺名称,店铺详情,店铺评分,评价人数,人均消费,店铺地址
梅间堂茶馆（融创滨江店）,https://www.meituan.com/meishi/1362730979/,4.5,0,177.0,西藏南路/世博会馆
碗吃茶楼·棋牌（爱琴海店）,https://www.meituan.com/meishi/1508353522/,4.2,12,115.0,虹桥镇
日处口新人文茶空间,https://www.meituan.com/meishi/1987822746/,4.6,11,131.0,世纪大道
茗知道茶馆（泰晤士小镇店）,https://www.meituan.com/meishi/1286045302/,3.7,16,112.0,泰晤士小镇
茗知道茶馆（泰晤士小镇店）,https://www.meituan.com/meishi/1286045302/,3.7,16,112.0,泰晤士小镇
璞境茶空间,https://www.meituan.com/meishi/182488548/,4.4,6,123.0,松江大学城
相爷府茶楼,https://www.meituan.com/meishi/1578693/,4.4,234,106.0,城隍庙/豫园
隐溪茶馆（建国西路店）,https://www.meituan.com/meishi/657328899/,4.5,13,167.0,衡山路/复兴西路
裕臻茶馆,https://www.meituan.com/meishi/80736302/,5.0,36,118.0,莘庄
容舍,https://www.meituan.com/meishi/1328005074/,5.0,1,147.0,万源城/东兰路
隐溪茶馆（环贸店）,https://www.meituan.com/meishi/981321042/,4.5,8,170.0,淮海路
六克茶方茶馆（静安寺一店）,https://www.meituan.com/meishi/160805689/,4.8,95,149.0,静安寺
茗闲居茶庄（古猗园店）,https://www.meituan.com/meishi/1903134049/,4.5,14,84.0,南翔
隐溪茶馆（外滩店）,https://www.meituan.com/meishi/1585162705/,4.5,3,179.0,外滩
初未茶舍,https://www.meituan.com/meishi/159231560/,4.0,29,161.0,人民广场/南京路
老铁门茶馆,https://www.meituan.com/meishi/1061154584/,3.5,2,0.0,华漕
茗和台茶楼,https://www.meituan.com/meishi/194500726/,4.3,27,99.0,莘庄
弦茗茶舍,https://www.meituan.com/meishi/194332312/,4.5,9,80.0,五角场/大学区
隐溪茶馆（仲盛世界商城店）,https://www.meituan.com/meishi/554531391/,4.5,2,152.0,莘庄
题序茶馆,https://www.meituan.com/meishi/1003887889/,4.2,8,137.0,七宝
隐溪茶馆（幸福里店）,https://www.meituan.com/meishi/624113688/,4.5,5,166.0,上海影城/新华路
隐溪茶馆（黄金城道店）,https://www.meituan.com/meishi/152322306/,4.7,26,168.0,虹桥/古北
隐溪茶馆（陆家嘴环路店）,https://www.meituan.com/meishi/655977483/,4.5,0,152.0,陆家嘴
老茶客·共享茶馆,https://www.meituan.com/meishi/163066394/,4.3,27,164.0,平凉路/东外滩
隐茶茗月（淮海755店）,https://www.meituan.com/meishi/163062258/,4.5,6,126.0,淮海路
CGV T SPACE茶间·茶馆（上海南翔印象城店）,https://www.meituan.com/meishi/1063281599/,4.1,3,41.0,南翔
小朴茶馆,https://www.meituan.com/meishi/118067551/,4.0,3,121.0,徐家汇
鸿艺茶馆（恒大茶城店）,https://www.meituan.com/meishi/195004227/,5.0,6,149.0,三林地区
合柿茶社,https://www.meituan.com/meishi/1260974975/,5.0,6,125.0,大华地区
一茶一舍（七宝万科屋顶店）,https://www.meituan.com/meishi/193154608/,4.2,9,91.0,七宝
且过亭茶空间（松江店）,https://www.meituan.com/meishi/1469442494/,4.3,11,95.0,松江镇
隐溪茶馆（前滩东方广场店）,https://www.meituan.com/meishi/737680269/,4.5,4,171.0,前滩
上书房茶馆,https://www.meituan.com/meishi/568249039/,4.5,6,148.0,静安寺
茶间堂,https://www.meituan.com/meishi/185129469/,4.0,7,101.0,浦江镇
雲生處茶馆,https://www.meituan.com/meishi/702501358/,4.5,7,142.0,虹桥枢纽
隐溪茶馆（五角场店）,https://www.meituan.com/meishi/1859751995/,4.5,3,165.0,五角场/大学区
大益茶·大隐茶院,https://www.meituan.com/meishi/673668765/,4.5,4,246.0,虹桥/古北
本然茶界,https://www.meituan.com/meishi/150005804/,5.0,4,116.0,徐家汇
琰谷·茶空间（徐家汇店）,https://www.meituan.com/meishi/825037323/,5.0,3,122.0,徐家汇
三饮堂（哈瑞中心店）,https://www.meituan.com/meishi/99261732/,4.0,0,538.0,市北工业园/汶水路
隐溪茶馆（七宝店）,https://www.meituan.com/meishi/1027462640/,4.4,7,173.0,七宝
1950·茶馆（静安寺店）,https://www.meituan.com/meishi/1999319629/,5.0,3,150.0,静安寺
朴溪茶馆（七莘路店）,https://www.meituan.com/meishi/189708836/,4.4,17,159.0,七宝
八马茶业（上海碧秀路店）,https://www.meituan.com/meishi/1057767351/,4.0,4,0.0,春申地区
汉府茶馆,https://www.meituan.com/meishi/1769773532/,4.7,8,0.0,嘉定新城
简舍茶空间（江浦路地铁站店）,https://www.meituan.com/meishi/163216390/,4.0,1,145.0,控江地区
6茶共享茶室（五角场店）,https://www.meituan.com/meishi/1984312100/,4.7,37,100.0,五角场/大学区
隐溪茶馆（奉贤店）,https://www.meituan.com/meishi/1601102219/,4.2,25,144.0,奉贤区
6茶共享24小时茶室（张江高科店）,https://www.meituan.com/meishi/939239665/,3.5,4,56.0,张江
梓潼阁,https://www.meituan.com/meishi/192594189/,4.2,24,92.0,五角场/大学区
小和茶馆,https://www.meituan.com/meishi/1661391911/,4.8,18,123.0,五角场/大学区
华云茶庄（川沙店）,https://www.meituan.com/meishi/416163/,4.1,157,89.0,川沙
心逸茶馆,https://www.meituan.com/meishi/193826363/,3.6,11,177.0,顾村公园
赏心院人文茶馆,https://www.meituan.com/meishi/166239979/,4.5,14,143.0,七宝
海上明茶院,https://www.meituan.com/meishi/672987038/,4.3,10,158.0,大宁地区
隐溪茶馆（银城路店）,https://www.meituan.com/meishi/604038270/,4.5,5,163.0,陆家嘴
清风人家茶馆（奉城店）,https://www.meituan.com/meishi/182544489/,3.9,12,101.0,奉城镇
隐溪茶馆（恒隆店）,https://www.meituan.com/meishi/1468651456/,4.5,5,167.0,南京西路
花之林人文茶馆（古华店）,https://www.meituan.com/meishi/442727/,3.8,666,77.0,南桥
高马茶社（黄兴旗舰店）,https://www.meituan.com/meishi/1596680433/,5.0,9,120.0,五角场/大学区
初云茶舍（金桥文峰广场店）,https://www.meituan.com/meishi/180552053/,5.0,77,161.0,金桥
微风茶舍,https://www.meituan.com/meishi/1146826490/,4.5,0,186.0,漕河泾/田林
大益茶（南桥店）,https://www.meituan.com/meishi/1344801989/,4.4,6,0.0,南桥
六克茶方茶馆（正大乐城店）,https://www.meituan.com/meishi/1736392318/,4.5,3,183.0,龙华/西岸
灵溪茶馆,https://www.meituan.com/meishi/1006551392/,4.3,18,160.0,塘桥
本茶,https://www.meituan.com/meishi/813736142/,5.0,91,85.0,江桥
拾年陈普洱茶.茶空间,https://www.meituan.com/meishi/1863967769/,4.5,2,139.0,徐泾
和云茶室,https://www.meituan.com/meishi/184051847/,3.7,9,96.0,康桥/周浦
隐溪茶馆（上海中心店）,https://www.meituan.com/meishi/1921017645/,4.5,2,201.0,陆家嘴
隐溪茶馆（碧云店）,https://www.meituan.com/meishi/1234703283/,4.5,0,163.0,碧云社区
漫心茶舍,https://www.meituan.com/meishi/193010315/,4.0,16,137.0,武宁地区
闲樽茶舍,https://www.meituan.com/meishi/1519730658/,5.0,28,96.0,江桥
大益茶,https://www.meituan.com/meishi/41986194/,4.9,16,74.0,世博园
唐·茶汇（虹桥店）,https://www.meituan.com/meishi/179986233/,4.0,3,129.0,虹桥枢纽
源和茶馆,https://www.meituan.com/meishi/1844555490/,4.5,16,123.0,康桥/周浦
滴茶里茶馆（大宁音乐广场店）,https://www.meituan.com/meishi/179769813/,4.0,15,155.0,大宁地区
合和茶馆（板泉路店）,https://www.meituan.com/meishi/446398/,4.0,0,165.0,三林地区
6茶共享茶室（大学路店）,https://www.meituan.com/meishi/1606575366/,5.0,39,96.0,五角场/大学区
茗知道茶馆（陆家嘴金融街区店）,https://www.meituan.com/meishi/879922223/,5.0,5,144.0,洋泾
吉益堂·普洱茶馆,https://www.meituan.com/meishi/1553643709/,4.5,13,111.0,人民广场/南京路
闲日茶坊,https://www.meituan.com/meishi/184810164/,3.7,40,142.0,康桥/周浦
隐溪茶馆（恒隆店）,https://www.meituan.com/meishi/1468651456/,4.5,5,167.0,南京西路
六艺茶馆（长阳店）,https://www.meituan.com/meishi/419556/,4.1,17,66.0,平凉路/东外滩
有间茶馆,https://www.meituan.com/meishi/1592407/,4.0,0,73.0,梅川路步行街
茗约·荷境茶馆（徐汇滨江店）,https://www.meituan.com/meishi/188492227/,4.5,3,176.0,龙华/西岸
廷泰茶空间,https://www.meituan.com/meishi/182370996/,5.0,6,274.0,长寿路
竹隐茶馆（城开优享店）,https://www.meituan.com/meishi/1303362725/,4.0,0,106.0,万源城/东兰路
盛樱极茶,https://www.meituan.com/meishi/1717986945/,5.0,101,118.0,南桥
聚辉堂（万科五玠坊店）,https://www.meituan.com/meishi/110799959/,3.5,9,94.0,三林地区
悦尔茶舍·商务会议,https://www.meituan.com/meishi/1829324971/,4.5,8,166.0,虹桥枢纽
蝉野茶馆（淮海中路店）,https://www.meituan.com/meishi/518300655/,5.0,4,163.0,上海影城/新华路
江南第一茶楼,https://www.meituan.com/meishi/111337223/,4.0,0,103.0,朱家角/东方绿舟
奇迹茶空间,https://www.meituan.com/meishi/193973503/,5.0,6,120.0,静安寺
永巨茶庄·会议·企业团建,https://www.meituan.com/meishi/90606057/,4.5,4,92.0,浦江镇
沐茶舍,https://www.meituan.com/meishi/190484593/,4.5,22,141.0,虹桥枢纽
慧茗轩（湖堤路店）,https://www.meituan.com/meishi/990803320/,4.9,18,260.0,南桥
朴溪茶馆（松江科技城店）,https://www.meituan.com/meishi/156887592/,4.2,23,111.0,九亭
月栖华明-云间草堂清茶馆,https://www.meituan.com/meishi/1609328621/,4.0,0,72.0,泗泾镇
弘启茶业,https://www.meituan.com/meishi/1251707353/,3.5,9,81.0,佘山
漫思茶茶馆,https://www.meituan.com/meishi/165670488/,4.0,10,120.0,徐泾
得胜茶楼,https://www.meituan.com/meishi/1893354104/,3.5,7,58.0,松东路
贵凡茶舍,https://www.meituan.com/meishi/1464748228/,4.8,11,120.0,徐家汇
束氏茶界（浦江科技广场店）,https://www.meituan.com/meishi/1634217347/,4.5,6,104.0,浦江镇
智泾源茶道馆,https://www.meituan.com/meishi/184409149/,4.3,16,100.0,颛桥/北桥
大益茶·茶馆,https://www.meituan.com/meishi/118353198/,4.4,134,110.0,世博园
博茶社,https://www.meituan.com/meishi/606556923/,4.0,4,184.0,世博园
中茶·上清和茶楼（颛桥万达店）,https://www.meituan.com/meishi/42578143/,4.1,7,86.0,颛桥/北桥
可庐茶空间,https://www.meituan.com/meishi/790976471/,5.0,2,182.0,碧云社区
禅久·茶空间（博华路店）,https://www.meituan.com/meishi/152357439/,3.5,6,126.0,北蔡
榎司茗,https://www.meituan.com/meishi/647278384/,4.0,6,77.0,老闵行/交大师大
瞬间茶楼,https://www.meituan.com/meishi/6594187/,4.0,6,0.0,青浦城区
吉星高照茶馆,https://www.meituan.com/meishi/1221000827/,4.0,3,156.0,上海影城/新华路
梅岭茶馆,https://www.meituan.com/meishi/1161550624/,3.5,3,40.0,曹杨地区
金壶堂茶馆（虹口米丈堂店）,https://www.meituan.com/meishi/1582763086/,4.0,2,180.0,虹口足球场/鲁迅公园
束氏茶界（宝龙广场店）,https://www.meituan.com/meishi/1804898938/,4.0,3,94.0,曹路
南溪阁茶室棋牌,https://www.meituan.com/meishi/1513162202/,3.0,13,81.0,莲花路/南方商城
一花一木一茶馆,https://www.meituan.com/meishi/1448817293/,4.0,4,121.0,新国际博览中心
渌水茶舍,https://www.meituan.com/meishi/1976039375/,3.5,1,266.0,康桥/周浦
霁月茶庭（森兰花园城店）,https://www.meituan.com/meishi/1976944420/,4.5,0,233.0,高行
半遇茶舍,https://www.meituan.com/meishi/1698860839/,4.5,8,122.0,五角场/大学区
铜雀台茶艺馆,https://www.meituan.com/meishi/4451895/,5.0,91,48.0,淞南
大益茶·大汇堂茶馆（康桥店）,https://www.meituan.com/meishi/2740448/,3.5,3,0.0,康桥/周浦
石上茶事（光大店）,https://www.meituan.com/meishi/1433346812/,4.5,9,140.0,漕河泾/田林
梅间堂茶馆（绿地缤纷城店）,https://www.meituan.com/meishi/179340622/,4.5,26,152.0,龙华/西岸
六克茶方茶馆（五角场二店）,https://www.meituan.com/meishi/1684321177/,4.5,5,164.0,五角场/大学区
聚英茶坊,https://www.meituan.com/meishi/1751098814/,3.5,3,0.0,庙行/共康
雅绎轩茶馆（青浦区店）,https://www.meituan.com/meishi/160431656/,4.3,20,140.0,赵巷镇
湖心亭,https://www.meituan.com/meishi/381953/,3.6,19,120.0,城隍庙/豫园
隐云茶舍,https://www.meituan.com/meishi/600143475/,4.4,10,171.0,静安寺
6茶共享茶室（嘉里不夜城店）,https://www.meituan.com/meishi/1028470846/,4.4,14,110.0,上海火车站/客运汽车总站
茶事十宜·普洱茶馆,https://www.meituan.com/meishi/107237417/,4.0,7,148.0,人民广场/南京路
听雨阁茶楼,https://www.meituan.com/meishi/150662993/,4.5,0,74.0,七宝
左月茶馆,https://www.meituan.com/meishi/1106203652/,4.0,1,132.0,漕河泾/田林
张博士茗茶馆（外滩店）,https://www.meituan.com/meishi/1580816/,4.5,0,323.0,外滩
腾蛟茶坊,https://www.meituan.com/meishi/1521864821/,4.6,18,0.0,洋泾
TAETEA大益茶,https://www.meituan.com/meishi/194999903/,4.4,24,74.0,大宁地区
曦遇桃舍茶生活美学,https://www.meituan.com/meishi/192597375/,4.4,12,121.0,嘉定区
罗溪书院茶艺馆,https://www.meituan.com/meishi/1566484731/,4.3,6,139.0,美兰湖
茶物院茶馆（陆家嘴店）,https://www.meituan.com/meishi/1038650455/,4.5,7,159.0,陆家嘴
与默茶,https://www.meituan.com/meishi/1312058420/,4.3,10,124.0,嘉定镇
卿馨茶楼（罗香路店）,https://www.meituan.com/meishi/621912974/,3.9,6,81.0,上海南站
世科坊茶楼,https://www.meituan.com/meishi/163032160/,4.0,0,101.0,新场
隐恬茶意,https://www.meituan.com/meishi/62967459/,4.5,0,145.0,大宁地区
CGV T SPACE茶间·茶馆（上海白玉兰广场店）,https://www.meituan.com/meishi/1102400993/,4.1,0,0.0,北外滩/外白渡桥
茗茶山房·茶馆·棋牌,https://www.meituan.com/meishi/1650102493/,3.5,1,171.0,上海影城/新华路
晨溪茶室·悟茶道,https://www.meituan.com/meishi/168899730/,4.5,2,190.0,中山公园/江苏路
艺龄文化谷茶舍·棋牌,https://www.meituan.com/meishi/1635947985/,4.4,11,94.0,莘庄
镜空林隐（泰晤士小镇店）,https://www.meituan.com/meishi/660921178/,4.1,12,158.0,泰晤士小镇
隐溪茶馆（前滩世贸中心店）,https://www.meituan.com/meishi/1078023380/,4.5,3,145.0,前滩
黄隆泰·老茶馆（外滩店）,https://www.meituan.com/meishi/88312727/,4.5,26,110.0,外滩
无忧大美·茶空间,https://www.meituan.com/meishi/1657157178/,4.0,1,167.0,八佰伴
新紫茂茶馆·棋牌（金桥店）,https://www.meituan.com/meishi/158747979/,4.3,126,67.0,金桥
慕茗雅白·白茶馆,https://www.meituan.com/meishi/194583815/,4.0,0,111.0,长寿路
汇百巷茶会所,https://www.meituan.com/meishi/6056847/,3.5,4,118.0,高行
传奇天目,https://www.meituan.com/meishi/164729876/,5.0,1,175.0,曲阳地区
张博士茗茶馆（成山店）,https://www.meituan.com/meishi/471979/,4.0,0,115.0,北蔡
华祥苑茗茶,https://www.meituan.com/meishi/894525568/,4.4,24,144.0,江桥
晶丰堂·普洱茶馆,https://www.meituan.com/meishi/535819879/,5.0,1,164.0,上海影城/新华路
潘二爺的茶屋,https://www.meituan.com/meishi/157185922/,4.5,4,169.0,虹口足球场/鲁迅公园
醉西楼·国风茶社,https://www.meituan.com/meishi/651614786/,4.5,3,189.0,上海影城/新华路
红谷阁茶室,https://www.meituan.com/meishi/4031886/,4.3,12,63.0,安亭镇
随心居（康桥路店）,https://www.meituan.com/meishi/159458404/,3.5,0,100.0,康桥/周浦
茶己空间,https://www.meituan.com/meishi/165704582/,4.0,0,114.0,南翔
大益茶（丰庄茶城店）,https://www.meituan.com/meishi/166786346/,3.5,1,0.0,丰庄
大益茶（丰庄茶城店）,https://www.meituan.com/meishi/166786346/,3.5,1,0.0,丰庄
江南茶人（拱极路店）,https://www.meituan.com/meishi/1602324/,3.4,1136,77.0,惠南镇
春山凌烟茶馆,https://www.meituan.com/meishi/1819624385/,3.5,3,84.0,虹桥镇
望沁源茶室（秀沿路店）,https://www.meituan.com/meishi/1409796818/,4.3,5,0.0,康桥/周浦
半山观海茶馆,https://www.meituan.com/meishi/118468401/,4.5,6,75.0,万体馆
荟兰轩现代茶馆,https://www.meituan.com/meishi/91874404/,4.5,2,166.0,宝山城区/吴淞
更上阁茶馆,https://www.meituan.com/meishi/1202631853/,5.0,2,148.0,打浦桥/田子坊
方外茶室活动空间（四行仓库店）,https://www.meituan.com/meishi/1982406783/,4.5,1,143.0,大悦城
大益茶（宝格丽裙房店）,https://www.meituan.com/meishi/1631174109/,3.5,2,0.0,海宁路/七浦路
养茶,https://www.meituan.com/meishi/1788057795/,4.2,9,142.0,虹桥/古北
语汐茶馆,https://www.meituan.com/meishi/1110345733/,4.5,1,102.0,七宝
忘己茶舍,https://www.meituan.com/meishi/1279369475/,4.6,6,0.0,嘉定新城
茶语茶楼,https://www.meituan.com/meishi/4405951/,3.9,12,92.0,张江
隐溪茶馆（万航渡路店）,https://www.meituan.com/meishi/932044230/,4.5,2,161.0,静安寺
雀红茶楼茶道国粹商务小憩（美兰湖风情街店）,https://www.meituan.com/meishi/533308436/,3.5,0,0.0,美兰湖
大益茶体验馆（虹桥商务区核心区店）,https://www.meituan.com/meishi/177720570/,4.6,15,187.0,虹桥枢纽
昌平茶楼,https://www.meituan.com/meishi/996492871/,4.0,3,139.0,静安寺
共享茶馆,https://www.meituan.com/meishi/165052992/,4.1,13,0.0,徐泾
茶之时 Tea's Time 茶空间,https://www.meituan.com/meishi/543489015/,4.0,3,122.0,上海南站
御春茗茶,https://www.meituan.com/meishi/41402194/,4.0,0,115.0,塘桥
普洱茶府|无己古茶（茶楼、茶艺馆、茶室）,https://www.meituan.com/meishi/1601211/,4.1,3,120.0,嘉定镇
泰和茶馆（联洋广场店）,https://www.meituan.com/meishi/473689/,4.0,0,135.0,联洋
皎然茶园（广元路店）,https://www.meituan.com/meishi/104684745/,4.1,9,138.0,徐家汇
醉春秋.茗遇书茶社,https://www.meituan.com/meishi/182021366/,4.0,1,162.0,莲花路/南方商城
寸草心茶馆,https://www.meituan.com/meishi/127950363/,4.0,0,116.0,世纪公园/科技馆
七彩云南  茶馆,https://www.meituan.com/meishi/158840789/,3.5,3,123.0,大宁地区
源臻艺术茶馆,https://www.meituan.com/meishi/1252395761/,4.5,0,274.0,虹桥/古北
虫二草舍,https://www.meituan.com/meishi/177514735/,4.5,2,129.0,大宁地区
琉月茶馆,https://www.meituan.com/meishi/905987654/,0.0,0,0.0,漕河泾/田林
山茗茶道·茶宴·棋牌,https://www.meituan.com/meishi/717465097/,4.0,4,0.0,宝山城区/吴淞
Teatime茶间,https://www.meituan.com/meishi/89082425/,4.5,9,153.0,曹杨地区
大可堂普洱茶馆（襄阳南路馆）,https://www.meituan.com/meishi/396642/,4.5,4,298.0,音乐学院/五官科医院
清格茶寮,https://www.meituan.com/meishi/6992001/,4.0,34,104.0,中山公园/江苏路
茶物院茶馆（曹家渡店）,https://www.meituan.com/meishi/776674251/,4.0,8,201.0,曹家渡
飞航茶艺馆,https://www.meituan.com/meishi/83439874/,4.3,17,99.0,飞航广场
夏舍茶事（陕西南路店）,https://www.meituan.com/meishi/187720878/,4.5,11,163.0,淮海路
月隐茶空间（大学路店）,https://www.meituan.com/meishi/164319713/,4.5,6,111.0,五角场/大学区
兰山茶庄,https://www.meituan.com/meishi/1095791109/,4.0,1,104.0,娄山关路/威宁路
妙运茶楼（金桥店）,https://www.meituan.com/meishi/187966095/,3.5,7,78.0,金桥
话春茶坊,https://www.meituan.com/meishi/1636544821/,4.0,0,0.0,安亭镇
钰彬坊名酒庄茶室,https://www.meituan.com/meishi/797573924/,4.0,0,0.0,张江
隐垆茶馆（朱家角店）,https://www.meituan.com/meishi/1535757510/,3.5,0,0.0,朱家角/东方绿舟
玖琰舫·国学茶文化空间,https://www.meituan.com/meishi/110610826/,4.5,9,180.0,陆家嘴
江南茶人（金桥店）,https://www.meituan.com/meishi/456993/,3.6,433,83.0,金桥
上水茶楼,https://www.meituan.com/meishi/159743672/,3.5,0,0.0,张江
江之沅茶空间,https://www.meituan.com/meishi/1875085416/,4.5,0,286.0,真北中环
木槿茶室（日式馆）,https://www.meituan.com/meishi/525386324/,4.1,11,143.0,长寿路
大益茶（财富108广场店）,https://www.meituan.com/meishi/189369533/,4.5,1,170.0,七宝
莫贝生活茶会所（商业街店）,https://www.meituan.com/meishi/5452406/,4.5,4,241.0,花木
允隐会馆,https://www.meituan.com/meishi/1508035970/,4.5,1,159.0,虹桥/古北
梵雅茶事·匠心,https://www.meituan.com/meishi/1616469236/,3.5,0,0.0,虹桥/古北
古猗园茶室,https://www.meituan.com/meishi/152403841/,4.5,0,71.0,南翔
般若茶舍,https://www.meituan.com/meishi/564022842/,4.5,3,176.0,中山公园/江苏路
颐风茶道（沙岗路店）,https://www.meituan.com/meishi/395018/,3.7,85,90.0,五角场/大学区
提香阁茶艺会馆,https://www.meituan.com/meishi/6046752/,3.5,2,51.0,大宁地区
堡善堂,https://www.meituan.com/meishi/686893172/,3.5,1,0.0,惠南镇
八马茶业（泰晤士店）,https://www.meituan.com/meishi/191283667/,3.5,2,122.0,泰晤士小镇
弄堂问茶,https://www.meituan.com/meishi/195065777/,4.0,1,304.0,川沙
溪茗茶苑,https://www.meituan.com/meishi/1715127440/,3.5,7,111.0,九亭
楠庐,https://www.meituan.com/meishi/1876860678/,4.0,4,106.0,松江大学城
茶林,https://www.meituan.com/meishi/1431374842/,3.5,3,0.0,新江湾城
柯山茶庐,https://www.meituan.com/meishi/1340067459/,3.5,9,0.0,宝山区
子羽茶廷（2号店）,https://www.meituan.com/meishi/1872694407/,4.5,4,148.0,五角场/大学区
四海茶楼,https://www.meituan.com/meishi/42254873/,3.5,0,0.0,奉贤区
鸣泉茶舍,https://www.meituan.com/meishi/179472198/,4.0,2,211.0,漕河泾/田林
隐茶茗月（杨浦店）,https://www.meituan.com/meishi/182536251/,4.1,39,160.0,五角场/大学区
沐春茶舍,https://www.meituan.com/meishi/988697087/,4.5,5,178.0,淮海路
鑫钰茶馆·棋牌,https://www.meituan.com/meishi/733529134/,4.4,14,135.0,九亭
大益茶·东传轩茶空间,https://www.meituan.com/meishi/1642810732/,5.0,6,151.0,打浦桥/田子坊
懒叁茶馆（吴兴路店）,https://www.meituan.com/meishi/159754458/,4.0,13,119.0,衡山路/复兴西路
大隐无界,https://www.meituan.com/meishi/1341212664/,4.0,0,327.0,唐湾镇/曹行镇
醉流苏茶空间,https://www.meituan.com/meishi/194339366/,3.5,5,105.0,国家会展中心
蔽芾棠BiFuTang·茶馆,https://www.meituan.com/meishi/843013354/,4.5,8,142.0,源深体育中心
张博士茗茶馆（联洋广场店）,https://www.meituan.com/meishi/426290/,3.5,0,118.0,世纪公园/科技馆
海临阁茶道,https://www.meituan.com/meishi/1652873630/,3.5,0,0.0,南汇新城
三生石老街茶馆,https://www.meituan.com/meishi/165875714/,3.5,0,114.0,三林地区
进哥茶楼,https://www.meituan.com/meishi/1997569056/,3.5,0,0.0,外高桥
归朴茶空间,https://www.meituan.com/meishi/51465598/,5.0,0,157.0,衡山路/复兴西路
心逸茶楼（菊泉街店）,https://www.meituan.com/meishi/4213751/,3.5,0,74.0,顾村公园
元熹生活·今大福茶馆,https://www.meituan.com/meishi/1262911811/,4.8,1,121.0,虹桥/古北
宁雅茶舍,https://www.meituan.com/meishi/165640832/,4.5,2,98.0,五角场/大学区
华祥苑茗茶（虹桥总部2号店）,https://www.meituan.com/meishi/505933195/,3.5,0,0.0,虹桥镇
华祥苑·华茶馆,https://www.meituan.com/meishi/1999070921/,4.5,1,305.0,外滩
欣茶坊（顾村公园店）,https://www.meituan.com/meishi/74198112/,3.5,7,48.0,顾村公园
茗胤茶馆,https://www.meituan.com/meishi/1393729783/,4.0,3,203.0,虹桥/古北
华祥苑茗茶·茶楼·棋牌,https://www.meituan.com/meishi/624970528/,0.0,0,0.0,奉贤区
枞古栽茶室（上海中庚聚龙酒店店）,https://www.meituan.com/meishi/558252001/,4.0,1,0.0,莲花路/南方商城
朴溪茶馆（莘闵店）,https://www.meituan.com/meishi/1139070496/,3.5,6,0.0,新桥
千言正茶馆,https://www.meituan.com/meishi/160421306/,4.5,0,104.0,徐家汇
有凤来仪茶馆（新华路店）,https://www.meituan.com/meishi/164295920/,4.0,12,205.0,上海影城/新华路
禅云茶馆,https://www.meituan.com/meishi/862556090/,4.0,0,0.0,真如
祺鑫阁茶馆,https://www.meituan.com/meishi/1902978780/,3.5,0,0.0,闵行开发区
